"","Cell_line","Histology","TCGA_classification","CCLE_Name","Broad_ID"
"903","5637","urinary_tract","BLCA","5637_URINARY_TRACT","ACH-000905"
"904","ES2","ovary","OV","ES2_OVARY","ACH-000906"
"905","SNU349","kidney","KIRC","SNU349_KIDNEY","ACH-000907"
"906","SNU520","stomach","STAD","SNU520_STOMACH","ACH-000908"
"907","JHUEM2","endometrium","UCEC","JHUEM2_ENDOMETRIUM","ACH-000909"
"908","MDAMB453","breast","BRCA","MDAMB453_BREAST","ACH-000910"
"909","NUGC3","stomach","STAD","NUGC3_STOMACH","ACH-000911"
"910","NCIH2286","lung","SCLC","NCIH2286_LUNG","ACH-000912"
"911","ESS1","endometrium","UCEC","ESS1_ENDOMETRIUM","ACH-000913"
"912","HT","haematopoietic_and_lymphoid_tissue","DLBC","HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000914"
"913","IPC298","skin","SKCM","IPC298_SKIN","ACH-000915"
"914","NCIH1573","lung","LUAD","NCIH1573_LUNG","ACH-000916"
"915","TE4","oesophagus","ESCA","TE4_OESOPHAGUS","ACH-000917"
"916","MOLT16","haematopoietic_and_lymphoid_tissue","ALL","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000918"
"917","IM95","stomach","STAD","IM95_STOMACH","ACH-000919"
"918","CMLT1","haematopoietic_and_lymphoid_tissue","LCML","CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000920"
"919","NCIH1339","lung","SCLC","NCIH1339_LUNG","ACH-000921"
"920","RCHACV","haematopoietic_and_lymphoid_tissue","ALL","RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000922"
"921","BCP1","haematopoietic_and_lymphoid_tissue","DLBC","BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000923"
"922","NCIH2172","lung",NA,"NCIH2172_LUNG","ACH-000924"
"923","DV90","lung","LUAD","DV90_LUNG","ACH-000925"
"924","HT55","large_intestine","COADREAD","HT55_LARGE_INTESTINE","ACH-000926"
"925","BT474","breast","BRCA","BT474_BREAST","ACH-000927"
"926","JHUEM1","endometrium","UCEC","JHUEM1_ENDOMETRIUM","ACH-000928"
"927","NCIH2110","lung",NA,"NCIH2110_LUNG","ACH-000929"
"928","HCC1569","breast","BRCA","HCC1569_BREAST","ACH-000930"
"929","HMCB","skin","SKCM","HMCB_SKIN","ACH-000931"
"930","SNU1","stomach","STAD","SNU1_STOMACH","ACH-000932"
"931","SNU324","pancreas","PAAD","SNU324_PANCREAS","ACH-000933"
"932","MDAMB361","breast","BRCA","MDAMB361_BREAST","ACH-000934"
"933","MDST8","large_intestine","COADREAD","MDST8_LARGE_INTESTINE","ACH-000935"
"934","EFO27","ovary","OV","EFO27_OVARY","ACH-000936"
"935","PF382","haematopoietic_and_lymphoid_tissue","ALL","PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000937"
"936","NALM6","haematopoietic_and_lymphoid_tissue","ALL","NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000938"
"937","SKUT1","soft_tissue","SARC","SKUT1_SOFT_TISSUE","ACH-000939"
"938","AN3CA","endometrium","UCEC","AN3CA_ENDOMETRIUM","ACH-000940"
"939","HEC1B","endometrium","UCEC","HEC1B_ENDOMETRIUM","ACH-000941"
"940","HPBALL","haematopoietic_and_lymphoid_tissue","ALL","HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000942"
"941","RKO","large_intestine","COADREAD","RKO_LARGE_INTESTINE","ACH-000943"
"942","NAMALWA","haematopoietic_and_lymphoid_tissue","DLBC","NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000944"
"943","NCIH650","lung","LUAD","NCIH650_LUNG","ACH-000945"
"944","HEC265","endometrium","UCEC","HEC265_ENDOMETRIUM","ACH-000946"
"945","OVK18","ovary","OV","OVK18_OVARY","ACH-000947"
"946","2313287","stomach","STAD","2313287_STOMACH","ACH-000948"
"947","TGBC11TKB","stomach","STAD","TGBC11TKB_STOMACH","ACH-000949"
"948","LOVO","large_intestine","COADREAD","LOVO_LARGE_INTESTINE","ACH-000950"
"949","NCIH2342","lung","LUAD","NCIH2342_LUNG","ACH-000951"
"950","MDAPCA2B","prostate","PRAD","MDAPCA2B_PROSTATE","ACH-000952"
"951","SUPT1","haematopoietic_and_lymphoid_tissue","ALL","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000953"
"952","HEC1A","endometrium","UCEC","HEC1A_ENDOMETRIUM","ACH-000954"
"953","SNU407","large_intestine","COADREAD","SNU407_LARGE_INTESTINE","ACH-000955"
"954","22RV1","prostate","PRAD","22RV1_PROSTATE","ACH-000956"
"955","LS180","large_intestine","COADREAD","LS180_LARGE_INTESTINE","ACH-000957"
"956","SW48","large_intestine","COADREAD","SW48_LARGE_INTESTINE","ACH-000958"
"957","SNUC4","large_intestine","COADREAD","SNUC4_LARGE_INTESTINE","ACH-000959"
"958","REH","haematopoietic_and_lymphoid_tissue","ALL","REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000960"
"959","ISHIKAWAHERAKLIO02ER","endometrium","UCEC","ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","ACH-000961"
"960","OC314","ovary","OV","OC314_OVARY","ACH-000962"
"961","CCK81","large_intestine","COADREAD","CCK81_LARGE_INTESTINE","ACH-000963"
"962","MOLT3","haematopoietic_and_lymphoid_tissue","ALL","MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000964"
"963","RL952","endometrium","UCEC","RL952_ENDOMETRIUM","ACH-000965"
"964","IGROV1","ovary","OV","IGROV1_OVARY","ACH-000966"
"965","SNUC2A","large_intestine","COADREAD","SNUC2A_LARGE_INTESTINE","ACH-000967"
"966","COLO792","skin","SKCM","COLO792_SKIN","ACH-000968"
"967","KM12","large_intestine","COADREAD","KM12_LARGE_INTESTINE","ACH-000969"
"968","SNUC5","large_intestine","COADREAD","SNUC5_LARGE_INTESTINE","ACH-000970"
"969","HCT116","large_intestine","COADREAD","HCT116_LARGE_INTESTINE","ACH-000971"
"970","HEC151","endometrium","UCEC","HEC151_ENDOMETRIUM","ACH-000972"
"971","639V","urinary_tract","BLCA","639V_URINARY_TRACT","ACH-000973"
"972","SNGM","endometrium","UCEC","SNGM_ENDOMETRIUM","ACH-000974"
"973","HCC2450","lung","LUAD","HCC2450_LUNG","ACH-000975"
"974","HUCCT1","biliary_tract","CHOL","HUCCT1_BILIARY_TRACT","ACH-000976"
"975","LNCAPCLONEFGC","prostate","PRAD","LNCAPCLONEFGC_PROSTATE","ACH-000977"
"976","EN","endometrium","UCEC","EN_ENDOMETRIUM","ACH-000978"
"977","DU145","prostate","PRAD","DU145_PROSTATE","ACH-000979"
"978","NCIH1155","lung",NA,"NCIH1155_LUNG","ACH-000980"
"979","DND41","haematopoietic_and_lymphoid_tissue","ALL","DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000981"
"980","GP2D","large_intestine","COADREAD","GP2D_LARGE_INTESTINE","ACH-000982"
"981","KCL22","haematopoietic_and_lymphoid_tissue","LCML","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000983"
"982","HEC6","endometrium","UCEC","HEC6_ENDOMETRIUM","ACH-000984"
"983","LS411N","large_intestine","COADREAD","LS411N_LARGE_INTESTINE","ACH-000985"
"984","HT115","large_intestine","COADREAD","HT115_LARGE_INTESTINE","ACH-000986"
"985","MEWO","skin","SKCM","MEWO_SKIN","ACH-000987"
"986","MFE319","endometrium","UCEC","MFE319_ENDOMETRIUM","ACH-000988"
"987","SNU175","large_intestine","COADREAD","SNU175_LARGE_INTESTINE","ACH-000989"
"988","HEC108","endometrium","UCEC","HEC108_ENDOMETRIUM","ACH-000990"
"989","SNU81","large_intestine","COADREAD","SNU81_LARGE_INTESTINE","ACH-000991"
"990","BICR18","upper_aerodigestive_tract","HNSC","BICR18_UPPER_AERODIGESTIVE_TRACT","ACH-000992"
"991","JHUEM7","endometrium","UCEC","JHUEM7_ENDOMETRIUM","ACH-000993"
"992","HEC59","endometrium","UCEC","HEC59_ENDOMETRIUM","ACH-000994"
"993","JURKAT","haematopoietic_and_lymphoid_tissue","ALL","JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000995"
"994","HEC251","endometrium","UCEC","HEC251_ENDOMETRIUM","ACH-000996"
"995","HCT15","large_intestine","COADREAD","HCT15_LARGE_INTESTINE","ACH-000997"
"996","CW2","large_intestine","COADREAD","CW2_LARGE_INTESTINE","ACH-000998"
"997","SNU1040","large_intestine","COADREAD","SNU1040_LARGE_INTESTINE","ACH-000999"
"998","1321N1","central_nervous_system","GBMLGG","1321N1_CENTRAL_NERVOUS_SYSTEM","ACH-001000"
"999","143B","bone","SARC","143B_BONE","ACH-001001"
"1000","451LU","skin","SKCM","451LU_SKIN","ACH-001002"
"1001","ACCS","urinary_tract","BLCA","ACCS_URINARY_TRACT","ACH-001011"
"1002","AZ521","small_intestine","STAD","AZ521_SMALL_INTESTINE","ACH-001015"
"1003","BECKER","central_nervous_system","GBMLGG","BECKER_CENTRAL_NERVOUS_SYSTEM","ACH-001016"
"1004","BGC823","stomach","STAD","BGC823_STOMACH","ACH-001017"
"1005","BJHTERT","fibroblast",NA,"BJHTERT_FIBROBLAST","ACH-001018"
"1006","BT16","soft_tissue","SARC","BT16_SOFT_TISSUE","ACH-001020"
"1007","C3A","liver","LIHC","C3A_LIVER","ACH-001021"
"1008","CBAGPN","bone","SARC","CBAGPN_BONE","ACH-001022"
"1009","CGTHW1","thyroid","THCA","CGTHW1_THYROID","ACH-001023"
"1010","CHL1","skin","SKCM","CHL1_SKIN","ACH-001024"
"1011","CHLA06ATRT","soft_tissue","SARC","CHLA06ATRT_SOFT_TISSUE","ACH-001028"
"1012","CHLA10","bone","SARC","CHLA10_BONE","ACH-001029"
"1013","CHLA218","bone","SARC","CHLA218_BONE","ACH-001030"
"1014","CHLA266","soft_tissue","SARC","CHLA266_SOFT_TISSUE","ACH-001031"
"1015","CHLA32","bone","SARC","CHLA32_BONE","ACH-001032"
"1016","CHLA57","bone","SARC","CHLA57_BONE","ACH-001033"
"1017","CHLA9","bone","SARC","CHLA9_BONE","ACH-001034"
"1018","CHLA99","bone","SARC","CHLA99_BONE","ACH-001035"
"1019","CMK115","haematopoietic_and_lymphoid_tissue","LAML","CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001036"
"1020","CMK86","haematopoietic_and_lymphoid_tissue","LAML","CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001037"
"1021","COGE352","bone","SARC","COGE352_BONE","ACH-001038"
"1022","COLO205","large_intestine","COADREAD","COLO205_LARGE_INTESTINE","ACH-001039"
"1023","COLO699","lung","LUAD","COLO699_LUNG","ACH-001041"
"1024","COLO704","ovary","OV","COLO704_OVARY","ACH-001042"
"1025","COLO775","haematopoietic_and_lymphoid_tissue","LCML","COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001043"
"1026","COLO818","skin","SKCM","COLO818_SKIN","ACH-001044"
"1027","COLO849","skin","SKCM","COLO849_SKIN","ACH-001045"
"1028","CORL51","lung","SCLC","CORL51_LUNG","ACH-001047"
"1029","COV504","ovary","OV","COV504_OVARY","ACH-001048"
"1030","CPCN","lung","SCLC","CPCN_LUNG","ACH-001049"
"1031","CW9019","soft_tissue","SARC","CW9019_SOFT_TISSUE","ACH-001050"
"1032","D384","central_nervous_system","MB","D384_CENTRAL_NERVOUS_SYSTEM","ACH-001052"
"1033","D425","central_nervous_system","MB","D425_CENTRAL_NERVOUS_SYSTEM","ACH-001053"
"1034","D458","central_nervous_system","MB","D458_CENTRAL_NERVOUS_SYSTEM","ACH-001054"
"1035","D556","central_nervous_system","MB","D556_CENTRAL_NERVOUS_SYSTEM","ACH-001055"
"1036","DERL2","haematopoietic_and_lymphoid_tissue",NA,"DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001057"
"1037","DL","soft_tissue","SARC","DL_SOFT_TISSUE","ACH-001059"
"1038","DL40","haematopoietic_and_lymphoid_tissue",NA,"DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001060"
"1039","DLD1","large_intestine","COADREAD","DLD1_LARGE_INTESTINE","ACH-001061"
"1040","DOV13","ovary","OV","DOV13_OVARY","ACH-001063"
"1041","EB2","haematopoietic_and_lymphoid_tissue","DLBC","EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001064"
"1042","EVSAT","breast","BRCA","EVSAT_BREAST","ACH-001065"
"1043","EWS834","bone","SARC","EWS834_BONE","ACH-001066"
"1044","F5","central_nervous_system",NA,"F5_CENTRAL_NERVOUS_SYSTEM","ACH-001067"
"1045","FEPD","haematopoietic_and_lymphoid_tissue",NA,"FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001068"
"1046","GLC82","lung","LUAD","GLC82_LUNG","ACH-001071"
"1047","GRM","skin","SKCM","GRM_SKIN","ACH-001072"
"1048","HCC1588","lung","COADREAD","HCC1588_LUNG","ACH-001078"
"1049","HCC1897","lung","LUSC","HCC1897_LUNG","ACH-001079"
"1050","HCC2998","large_intestine","COADREAD","HCC2998_LARGE_INTESTINE","ACH-001081"
"1051","HCT8","large_intestine","COADREAD","HCT8_LARGE_INTESTINE","ACH-001084"
"1052","HELA","cervix","CESC","HELA_CERVIX","ACH-001086"
"1053","HK2","kidney","KIRC","HK2_KIDNEY","ACH-001087"
"1054","HLC1","lung","LUAD","HLC1_LUNG","ACH-001088"
"1055","HLE","liver","LIHC","HLE_LIVER","ACH-001089"
"1056","HN","upper_aerodigestive_tract","HNSC","HN_UPPER_AERODIGESTIVE_TRACT","ACH-001090"
"1057","HRT18","large_intestine","COADREAD","HRT18_LARGE_INTESTINE","ACH-001091"
"1058","HS571T","ovary","OV","HS571T_OVARY","ACH-001092"
"1059","HS604T","fibroblast",NA,"HS604T_FIBROBLAST","ACH-001093"
"1060","HTK","haematopoietic_and_lymphoid_tissue","MM","HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001094"
"1061","JR","soft_tissue","SARC","JR_SOFT_TISSUE","ACH-001096"
"1062","KARPAS384","haematopoietic_and_lymphoid_tissue",NA,"KARPAS384_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001097"
"1063","KCIMOH1","pancreas","PAAD","KCIMOH1_PANCREAS","ACH-001098"
"1064","KD","soft_tissue","SARC","KD_SOFT_TISSUE","ACH-001099"
"1065","KHYG","haematopoietic_and_lymphoid_tissue",NA,"KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001100"
"1066","KLM1","pancreas","PAAD","KLM1_PANCREAS","ACH-001101"
"1067","KOPN8","haematopoietic_and_lymphoid_tissue","ALL","KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001106"
"1068","KP1N","pancreas","PAAD","KP1N_PANCREAS","ACH-001107"
"1069","KP1NL","pancreas","PAAD","KP1NL_PANCREAS","ACH-001108"
"1070","KPMRTRY","soft_tissue","SARC","KPMRTRY_SOFT_TISSUE","ACH-001109"
"1071","L82","haematopoietic_and_lymphoid_tissue",NA,"L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001111"
"1072","LC1SQSF","lung","LUSC","LC1SQSF_LUNG","ACH-001113"
"1073","M059J","central_nervous_system","GBMLGG","M059J_CENTRAL_NERVOUS_SYSTEM","ACH-001118"
"1074","MAC2A","haematopoietic_and_lymphoid_tissue",NA,"MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001119"
"1075","MB157","breast","BRCA","MB157_BREAST","ACH-001120"
"1076","MEC2","haematopoietic_and_lymphoid_tissue","DLBC","MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001121"
"1077","MKL1","skin",NA,"MKL1_SKIN","ACH-001122"
"1078","MKL2","skin",NA,"MKL2_SKIN","ACH-001123"
"1079","MOGGCCM","central_nervous_system","GBMLGG","MOGGCCM_CENTRAL_NERVOUS_SYSTEM","ACH-001125"
"1080","MOGGUVW","central_nervous_system","GBMLGG","MOGGUVW_CENTRAL_NERVOUS_SYSTEM","ACH-001126"
"1081","MOLT4","haematopoietic_and_lymphoid_tissue","ALL","MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001127"
"1082","MON","soft_tissue","SARC","MON_SOFT_TISSUE","ACH-001128"
"1083","MONOMAC1","haematopoietic_and_lymphoid_tissue","LAML","MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001129"
"1084","MOTN1","haematopoietic_and_lymphoid_tissue","ALL","MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001130"
"1085","MTA","haematopoietic_and_lymphoid_tissue",NA,"MTA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001132"
"1086","MYLA","haematopoietic_and_lymphoid_tissue",NA,"MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001134"
"1087","NCIH187","lung","SCLC","NCIH187_LUNG","ACH-001136"
"1088","NCIH1993","lung","LUAD","NCIH1993_LUNG","ACH-001137"
"1089","NCIH2141","lung","SCLC","NCIH2141_LUNG","ACH-001138"
"1090","NCIH820","lung","LUAD","NCIH820_LUNG","ACH-001140"
"1091","NHAHTDD","primary",NA,"NHAHTDD_PRIMARY","ACH-001142"
"1092","NKL","haematopoietic_and_lymphoid_tissue",NA,"NKL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001143"
"1093","OC316","ovary","OV","OC316_OVARY","ACH-001145"
"1094","OCILY10","haematopoietic_and_lymphoid_tissue","DLBC","OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001146"
"1095","OCILY12","haematopoietic_and_lymphoid_tissue",NA,"OCILY12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001147"
"1096","OCILY132","haematopoietic_and_lymphoid_tissue",NA,"OCILY132_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001148"
"1097","OUMS27","bone","SARC","OUMS27_BONE","ACH-001150"
"1098","OVCAR5","ovary","OV","OVCAR5_OVARY","ACH-001151"
"1099","PCM6","haematopoietic_and_lymphoid_tissue","MM","PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001162"
"1100","CCLFPEDS0001T","kidney","KIRC","CCLFPEDS0001T_KIDNEY","ACH-001163"
"1101","CCLFPEDS0003T","soft_tissue","SARC","CCLFPEDS0003T_SOFT_TISSUE","ACH-001164"
"1102","PETA","skin",NA,"PETA_SKIN","ACH-001170"
"1103","PL45","pancreas","PAAD","PL45_PANCREAS","ACH-001171"
"1104","R262","central_nervous_system","MB","R262_CENTRAL_NERVOUS_SYSTEM","ACH-001173"
"1105","RCC4","kidney","KIRC","RCC4_KIDNEY","ACH-001175"
"1106","RPMI6666","haematopoietic_and_lymphoid_tissue",NA,"RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001182"
"1107","RT11284","urinary_tract","BLCA","RT11284_URINARY_TRACT","ACH-001183"
"1108","SCMCRM2","soft_tissue","SARC","SCMCRM2_SOFT_TISSUE","ACH-001184"
"1109","SF8657","skin","SKCM","SF8657_SKIN","ACH-001187"
"1110","SHSY5Y","autonomic_ganglia","NB","SHSY5Y_AUTONOMIC_GANGLIA","ACH-001188"
"1111","SJRH30","soft_tissue","SARC","SJRH30_SOFT_TISSUE","ACH-001189"
"1112","SKMEL2","skin","SKCM","SKMEL2_SKIN","ACH-001190"
"1113","SKNEP1","bone","KIRC","SKNEP1_BONE","ACH-001192"
"1114","SKPNDW","bone","SARC","SKPNDW_BONE","ACH-001193"
"1115","SKRC31","kidney","KIRC","SKRC31_KIDNEY","ACH-001194"
"1116","SMSCTR","soft_tissue","SARC","SMSCTR_SOFT_TISSUE","ACH-001196"
"1117","SMZ1","haematopoietic_and_lymphoid_tissue",NA,"SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001197"
"1118","SNB19","central_nervous_system","GBMLGG","SNB19_CENTRAL_NERVOUS_SYSTEM","ACH-001198"
"1119","SNUC2B","large_intestine","COADREAD","SNUC2B_LARGE_INTESTINE","ACH-001199"
"1120","STM9101","soft_tissue","SARC","STM9101_SOFT_TISSUE","ACH-001200"
"1121","SUMB002","central_nervous_system","MB","SUMB002_CENTRAL_NERVOUS_SYSTEM","ACH-001201"
"1122","SUPHD1","haematopoietic_and_lymphoid_tissue",NA,"SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001203"
"1123","TC32","bone","SARC","TC32_BONE","ACH-001205"
"1124","TCC466","bone","SARC","TCC466_BONE","ACH-001206"
"1125","TIG3TD","fibroblast",NA,"TIG3TD_FIBROBLAST","ACH-001207"
"1126","TK10","kidney","KIRC","TK10_KIDNEY","ACH-001208"
"1127","TTC1240","soft_tissue","SARC","TTC1240_SOFT_TISSUE","ACH-001210"
"1128","TTC549","soft_tissue","SARC","TTC549_SOFT_TISSUE","ACH-001211"
"1129","TTC642","soft_tissue","SARC","TTC642_SOFT_TISSUE","ACH-001212"
"1130","U138MG","central_nervous_system","GBMLGG","U138MG_CENTRAL_NERVOUS_SYSTEM","ACH-001214"
"1131","UMRC2","kidney","KIRC","UMRC2_KIDNEY","ACH-001224"
"1132","UPCISCC152","upper_aerodigestive_tract","HNSC","UPCISCC152_UPPER_AERODIGESTIVE_TRACT","ACH-001228"
"1133","UT7","haematopoietic_and_lymphoid_tissue","LAML","UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001230"
"1134","UW228","central_nervous_system","MB","UW228_CENTRAL_NERVOUS_SYSTEM","ACH-001232"
"1135","VMRCLCD","lung","LUAD","VMRCLCD_LUNG","ACH-001233"
"1136","VMRCLCP","lung","LUSC","VMRCLCP_LUNG","ACH-001234"
"1137","WM2664","skin","SKCM","WM2664_SKIN","ACH-001239"
"1138","YMB1","breast","BRCA","YMB1_BREAST","ACH-001249"
"1139","127399","soft_tissue","SARC","127399_SOFT_TISSUE","ACH-001270"
"1140","FUJI","soft_tissue","SARC","FUJI_SOFT_TISSUE","ACH-001272"
"1141","SW982","soft_tissue","SARC","SW982_SOFT_TISSUE","ACH-001274"
"1142","SYO1","soft_tissue","SARC","SYO1_SOFT_TISSUE","ACH-001275"
"1143","YAMATO","soft_tissue","SARC","YAMATO_SOFT_TISSUE","ACH-001277"
"1144","BIN67","ovary","OV","BIN67_OVARY","ACH-001278"
"1145","SCCOHT1","ovary","OV","SCCOHT1_OVARY","ACH-001279"
"1146","SCS214","soft_tissue","SARC","SCS214_SOFT_TISSUE","ACH-001280"
"1147","CHLA258","bone","SARC","CHLA258_BONE","ACH-001282"
"1148","TC106","bone","SARC","TC106_BONE","ACH-001283"
"1149","COGAR359","soft_tissue","SARC","COGAR359_SOFT_TISSUE","ACH-001289"
"1150","Y79","autonomic_ganglia",NA,"Y79_AUTONOMIC_GANGLIA","ACH-001295"
"1151","CHLA15","autonomic_ganglia","NB","CHLA15_AUTONOMIC_GANGLIA","ACH-001300"
"1152","COGN278","autonomic_ganglia","NB","COGN278_AUTONOMIC_GANGLIA","ACH-001301"
"1153","COGN305","autonomic_ganglia","NB","COGN305_AUTONOMIC_GANGLIA","ACH-001302"
"1154","NB1643","autonomic_ganglia","NB","NB1643_AUTONOMIC_GANGLIA","ACH-001303"
"1155","8305C","thyroid","THCA","8305C_THYROID","ACH-001306"
"1156","8505C","thyroid","THCA","8505C_THYROID","ACH-001307"
"1157","HA1E","kidney","KIRC","HA1E_KIDNEY","ACH-001310"
"1158","PLCPRF5","liver","LIHC","PLCPRF5_LIVER","ACH-001318"
"1159","CME1","soft_tissue","SARC","CME1_SOFT_TISSUE","ACH-001322"
"1160","A431","skin",NA,"A431_SKIN","ACH-001328"
"1161","ANGMCSS","central_nervous_system","GBMLGG","ANGMCSS_CENTRAL_NERVOUS_SYSTEM","ACH-001329"
"1162","BICR10","upper_aerodigestive_tract","HNSC","BICR10_UPPER_AERODIGESTIVE_TRACT","ACH-001331"
"1163","BICR78","upper_aerodigestive_tract","HNSC","BICR78_UPPER_AERODIGESTIVE_TRACT","ACH-001332"
"1164","C33A","cervix","CESC","C33A_CERVIX","ACH-001333"
"1165","C4I","cervix","CESC","C4I_CERVIX","ACH-001334"
"1166","CASKI","cervix","CESC","CASKI_CERVIX","ACH-001336"
"1167","CHP134","autonomic_ganglia","NB","CHP134_AUTONOMIC_GANGLIA","ACH-001338"
"1168","COLO794","skin","SKCM","COLO794_SKIN","ACH-001339"
"1169","COV413A","ovary","OV","COV413A_OVARY","ACH-001340"
"1170","DOTC24510","cervix","CESC","DOTC24510_CERVIX","ACH-001341"
"1171","GIMEN","autonomic_ganglia","NB","GIMEN_AUTONOMIC_GANGLIA","ACH-001344"
"1172","GP5D","large_intestine","COADREAD","GP5D_LARGE_INTESTINE","ACH-001345"
"1173","H103","upper_aerodigestive_tract","HNSC","H103_UPPER_AERODIGESTIVE_TRACT","ACH-001346"
"1174","HTCC3","thyroid","THCA","HTCC3_THYROID","ACH-001350"
"1175","JOPACA1","pancreas","PAAD","JOPACA1_PANCREAS","ACH-001353"
"1176","LAN2","autonomic_ganglia","NB","LAN2_AUTONOMIC_GANGLIA","ACH-001354"
"1177","LAN6","autonomic_ganglia","NB","LAN6_AUTONOMIC_GANGLIA","ACH-001355"
"1178","MB1","thyroid","THCA","MB1_THYROID","ACH-001356"
"1179","MCF10A","breast",NA,"MCF10A_BREAST","ACH-001357"
"1180","MDAMB330","breast","BRCA","MDAMB330_BREAST","ACH-001358"
"1181","ME180","cervix","CESC","ME180_CERVIX","ACH-001359"
"1182","MS751","cervix","CESC","MS751_CERVIX","ACH-001360"
"1183","NCIH1770","lung",NA,"NCIH1770_LUNG","ACH-001362"
"1184","NCIH2135","lung",NA,"NCIH2135_LUNG","ACH-001363"
"1185","NCIH345","lung","SCLC","NCIH345_LUNG","ACH-001364"
"1186","NCIH847","lung","SCLC","NCIH847_LUNG","ACH-001365"
"1187","NMB","autonomic_ganglia","NB","NMB_AUTONOMIC_GANGLIA","ACH-001367"
"1188","OACM51","oesophagus","ESCA","OACM51_OESOPHAGUS","ACH-001368"
"1189","OCIC5X","ovary","OV","OCIC5X_OVARY","ACH-001369"
"1190","OV17R","ovary","OV","OV17R_OVARY","ACH-001373"
"1191","PA1","ovary","OV","PA1_OVARY","ACH-001374"
"1192","PACADD119","pancreas","PAAD","PACADD119_PANCREAS","ACH-001375"
"1193","PACADD135","pancreas","PAAD","PACADD135_PANCREAS","ACH-001376"
"1194","PACADD137","pancreas","PAAD","PACADD137_PANCREAS","ACH-001377"
"1195","PACADD159","pancreas","PAAD","PACADD159_PANCREAS","ACH-001378"
"1196","PACADD161","pancreas","PAAD","PACADD161_PANCREAS","ACH-001379"
"1197","PACADD165","pancreas","PAAD","PACADD165_PANCREAS","ACH-001380"
"1198","PACADD188","pancreas","PAAD","PACADD188_PANCREAS","ACH-001382"
"1199","PWR1E","prostate","PRAD","PWR1E_PROSTATE","ACH-001383"
"1200","RO82W1","thyroid","THCA","RO82W1_THYROID","ACH-001384"
"1201","RPMI2650","upper_aerodigestive_tract","HNSC","RPMI2650_UPPER_AERODIGESTIVE_TRACT","ACH-001385"
"1202","SCLC22H","lung","SCLC","SCLC22H_LUNG","ACH-001386"
