n_replicates,DepMap_ID,cell_line_SSMD,culture_type,culture_medium,aliases,CCLE_name,primary_tissue,secondary_tissue,tertiary_tissue,cas9_activity
2,ACH-001332,-1.5198127349149162,Adherent,DMEM; 10% FBS; Glut; Hrydrocortisone,BICR 78,BICR78_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,7.5
2,ACH-001346,-1.492145182813312,Adherent,"HITES 10%FBS + 2mM glutamine, 0.5 ug/mL sodium hydrocortisone succinate",H103,H103_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,buccal_mucosa,,11.3
2,ACH-001353,-1.1622979074850706,Adherent,I10,JOPACA-1,JOPACA1_PANCREAS,pancreas,,,4.2
2,ACH-001368,-2.0318819534892274,Suspension,R20,OAC-M5.1,OACM51_OESOPHAGUS,esophagus,esophagus_adenocarcinoma,,20.2
2,ACH-001377,-1.7560699455388302,Adherent,D:K(1:1)20+,PACADD-137,PACADD137_PANCREAS,pancreas,,,32.7
2,ACH-001380,-2.0949173914848638,Adherent,D:KSFM (1:1)20+K-SFM,PACADD-165,PACADD165_PANCREAS,pancreas,,,3.7
2,ACH-001430,-1.0074845980799834,Light Adherent or Suspension ,"RPMI-1640: 90.0%; 10%heat inactive FBS,2mMGlutamax",TC138,TC138_BONE,bone,Ewing_sarcoma,,33.3
2,ACH-001431,-1.3995081687530464,Adherent,"RPMI-1640: 90.0%; 10%heat inactive FBS,2mMGlutamax",TC205,TC205_BONE,bone,Ewing_sarcoma,,46.4
2,ACH-001496,-1.819209326755051,Semi-Adherent,R10+ 2mM glutamine,ESO26,ESO26_OESOPHAGUS,esophagus,esophagus_adenocarcinoma,,7.7
2,ACH-001532,-2.8593188288570595,Adherent,D10 heat inactivated FBS,JMU-RTK-2,JMURTK2_SOFT_TISSUE,rhabdoid,,,30.5
2,ACH-001552,-1.0540140226949342,Adherent,RPMI 1640 (with 2mM L-Glutamine+25mM HEPES) + 15% FCSRPMI 1640 (with 2mM L-Glutamine+25mM HEPES) + 15% FCS,MCC26,MCC26_SKIN,skin,Merkel,,49.3
2,ACH-001654,-1.5780976678668868,Adherent,RPMI-1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS),SK-GT-4,SKGT4_OESOPHAGUS,esophagus,esophagus_adenocarcinoma,,11.6
1,ACH-001737,-0.6368401154233323,Suspension,RPMI-1640; 10%FBS,HSB2,HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,T-cell_ALL,,32.9
3,ACH-001740,-0.917701008892498,Adherent,D10,RH28,RH28_SOFT_TISSUE,rhabdomyosarcoma,,,60.8
3,ACH-001745,-1.082400970240195,Adherent,DMEM 10% FBS,RhJT,RHJT_SOFT_TISSUE,rhabdomyosarcoma,,,64.4
3,ACH-001765,-1.854366368950896,Adherent,DMEM 10% FBS,Rh4,RH4_SOFT_TISSUE,rhabdomyosarcoma,,,27.4
